Fecha;Aplicacion;Pais;Dispositivo;Instalaciones;Desinstalaciones;Impresiones
26/12/2017;eticsearch;ES;iPhone;0;0;8
27/12/2017;eticsearch;ES;iPhone;0;0;8
28/12/2017;eticsearch;ES;iPhone;0;0;13
29/12/2017;eticsearch;ES;iPhone;0;0;9
30/12/2017;eticsearch;ES;iPhone;0;0;4
31/12/2017;eticsearch;ES;iPhone;0;0;5
01/01/2018;eticsearch;ES;iPhone;0;0;4
02/01/2018;eticsearch;ES;iPhone;0;0;7
03/01/2018;eticsearch;ES;iPhone;0;0;12
04/01/2018;eticsearch;ES;iPhone;0;0;12
05/01/2018;eticsearch;ES;iPhone;0;0;5
06/01/2018;eticsearch;ES;iPhone;0;0;11
07/01/2018;eticsearch;ES;iPhone;0;0;8
08/01/2018;eticsearch;ES;iPhone;0;0;8
09/01/2018;eticsearch;ES;iPhone;0;0;20
10/01/2018;eticsearch;ES;iPhone;0;0;8
11/01/2018;eticsearch;ES;iPhone;3;0;9
12/01/2018;eticsearch;ES;iPhone;0;0;9
13/01/2018;eticsearch;ES;iPhone;2;0;4
14/01/2018;eticsearch;ES;iPhone;0;0;8
15/01/2018;eticsearch;ES;iPhone;0;0;18
16/01/2018;eticsearch;ES;iPhone;0;0;16
17/01/2018;eticsearch;ES;iPhone;0;0;15
18/01/2018;eticsearch;ES;iPhone;0;0;14
19/01/2018;eticsearch;ES;iPhone;0;0;8
20/01/2018;eticsearch;ES;iPhone;0;0;3
21/01/2018;eticsearch;ES;iPhone;0;0;7
22/01/2018;eticsearch;US;iPhone;1;0;14
23/01/2018;eticsearch;ES;iPhone;0;0;6
24/01/2018;eticsearch;ES;iPhone;0;0;8
25/01/2018;eticsearch;ES;iPhone;0;0;11
26/01/2018;eticsearch;ES;iPhone;0;0;4
27/01/2018;eticsearch;ES;iPhone;0;0;5
28/01/2018;eticsearch;ES;iPhone;0;0;11
29/01/2018;eticsearch;ES;iPhone;0;0;10
30/01/2018;eticsearch;ES;iPhone;0;0;14
31/01/2018;eticsearch;ES;iPhone;0;0;13
01/02/2018;eticsearch;ES;iPhone;0;0;9
02/02/2018;eticsearch;ES;iPhone;0;0;9
03/02/2018;eticsearch;ES;iPhone;0;0;6
04/02/2018;eticsearch;ES;iPhone;0;0;4
05/02/2018;eticsearch;ES;iPhone;0;0;9
06/02/2018;eticsearch;ES;iPhone;0;0;2
07/02/2018;eticsearch;ES;iPhone;0;0;32
08/02/2018;eticsearch;ES;iPhone;0;0;14
09/02/2018;eticsearch;ES;iPhone;11;0;22
10/02/2018;eticsearch;ES;iPhone;0;0;4
11/02/2018;eticsearch;ES;iPhone;0;0;8
12/02/2018;eticsearch;ES;iPhone;0;0;12
13/02/2018;eticsearch;ES;iPhone;0;0;14
14/02/2018;eticsearch;ES;iPhone;0;0;21
15/02/2018;eticsearch;ES;iPhone;0;0;14
16/02/2018;eticsearch;ES;iPhone;0;0;16
17/02/2018;eticsearch;ES;iPhone;0;0;5
18/02/2018;eticsearch;ES;iPhone;0;0;4
19/02/2018;eticsearch;ES;iPhone;0;0;14
20/02/2018;eticsearch;ES;iPhone;0;0;11
21/02/2018;eticsearch;ES;iPhone;0;0;11
22/02/2018;eticsearch;ES;iPhone;0;0;13
23/02/2018;eticsearch;ES;iPhone;0;0;11
24/02/2018;eticsearch;ES;iPhone;0;0;7
25/02/2018;eticsearch;ES;iPhone;0;0;8
26/02/2018;eticsearch;ES;iPhone;0;0;12
27/02/2018;eticsearch;ES;iPhone;1;0;6
28/02/2018;eticsearch;ES;iPhone;0;0;8
01/03/2018;eticsearch;ES;iPhone;0;0;8
02/03/2018;eticsearch;ES;iPhone;0;0;6
03/03/2018;eticsearch;ES;iPhone;0;0;9
04/03/2018;eticsearch;ES;iPhone;0;0;5
05/03/2018;eticsearch;ES;iPhone;0;0;8
06/03/2018;eticsearch;ES;iPhone;0;0;11
07/03/2018;eticsearch;ES;iPhone;0;0;7
08/03/2018;eticsearch;ES;iPhone;0;0;7
09/03/2018;eticsearch;ES;iPhone;0;0;6
10/03/2018;eticsearch;ES;iPhone;0;0;5
11/03/2018;eticsearch;ES;iPhone;0;0;2
12/03/2018;eticsearch;ES;iPhone;0;0;6
13/03/2018;eticsearch;ES;iPhone;0;0;13
14/03/2018;eticsearch;ES;iPhone;1;0;11
15/03/2018;eticsearch;ES;iPhone;0;0;9
16/03/2018;eticsearch;ES;iPhone;0;0;10
17/03/2018;eticsearch;ES;iPhone;0;0;2
18/03/2018;eticsearch;ES;iPhone;0;0;4
19/03/2018;eticsearch;ES;iPhone;0;0;7
20/03/2018;eticsearch;ES;iPhone;0;0;10
21/03/2018;eticsearch;ES;iPhone;0;0;8
22/03/2018;eticsearch;ES;iPhone;0;0;15
23/03/2018;eticsearch;ES;iPhone;0;0;14
24/03/2018;eticsearch;ES;iPhone;0;0;2
25/03/2018;eticsearch;ES;iPhone;1;0;6
26/03/2018;eticsearch;ES;iPhone;0;0;6
27/03/2018;eticsearch;ES;iPhone;0;0;14
28/03/2018;eticsearch;ES;iPhone;0;0;8
29/03/2018;eticsearch;ES;iPhone;0;0;6
30/03/2018;eticsearch;ES;iPhone;0;0;4
31/03/2018;eticsearch;ES;iPhone;0;0;3
01/04/2018;eticsearch;ES;iPhone;0;0;8
02/04/2018;eticsearch;ES;iPhone;0;0;8
03/04/2018;eticsearch;ES;iPhone;0;0;3
04/04/2018;eticsearch;ES;iPhone;0;0;9
05/04/2018;eticsearch;ES;iPhone;0;0;13
06/04/2018;eticsearch;ES;iPhone;0;0;11
07/04/2018;eticsearch;ES;iPhone;0;0;5
08/04/2018;eticsearch;ES;iPhone;0;0;2
09/04/2018;eticsearch;ES;iPhone;0;0;14
10/04/2018;eticsearch;ES;iPhone;0;0;10
11/04/2018;eticsearch;ES;iPhone;0;0;8
12/04/2018;eticsearch;ES;iPhone;1;0;11
13/04/2018;eticsearch;ES;iPhone;0;0;24
14/04/2018;eticsearch;ES;iPhone;0;0;12
15/04/2018;eticsearch;ES;iPhone;0;0;4
16/04/2018;eticsearch;ES;iPhone;0;0;7
